ADJ	NCLUSTERS	adj.all	adj.pert
elettorale	1	0	1
musicale	2	1	1
francese	1	0	1
estero	1	1	0
cristiano	1	0	1
artistico	1	0	1
democratico	2	1	1
tedesco	1	0	1
romano	0	0	0
morale	1	1	0
contemporaneo	0	0	0
armato	1	1	0
cattolico	2	0	2
occidentale	1	1	0
letterario	1	0	1
spirituale	0	0	0
comunista	1	0	1
etico	1	0	1
residente	0	0	0
radicale	0	0	0
islamico	1	0	1
cinese	1	0	1
sacro	2	2	0
arabo	1	0	1
linguistico	2	0	2
spagnolo	1	0	1
teatrale	0	0	0
cinematografico	0	0	0
sonoro	0	0	0
musulmano	1	0	1
teorico	1	1	0
federale	0	0	0
statunitense	0	0	0
orientale	0	0	0
iracheno	1	0	1
creativo	1	1	0
siciliano	1	0	1
fotografico	1	0	1
divino	2	0	2
greco	1	0	1
intellettuale	1	1	0
britannico	1	0	1
matematico	1	0	1
palestinese	1	0	1
israeliano	1	0	1
toscano	1	0	1
filosofico	1	0	1
russo	1	0	1
africano	1	0	1
umanitario	1	0	1
supremo	1	1	0
giapponese	1	0	1
liberale	0	0	0
ebraico	1	0	1
laico	0	0	0
diplomatico	0	0	0
ideologico	0	0	0
simbolico	0	0	0
latino	1	0	1
milanese	1	0	1
poetico	0	0	0
logico	1	1	0
nobile	0	0	0
estetico	1	0	1
indiano	0	0	0
fascista	1	0	1
etnico	0	0	0
mediterraneo	1	0	1
interiore	0	0	0
socialista	0	0	0
rivoluzionario	0	0	0
napoletano	1	0	1
terroristico	0	0	0
narrativo	0	0	0
sovietico	1	0	1
lombardo	0	0	0
albanese	1	0	1
medievale	1	0	1
metodologico	1	0	1
veneto	0	0	0
bolognese	0	0	0
pacifico	2	2	0
magno	0	0	0
sardo	1	0	1
pastorale	2	0	2
bibliografico	1	0	1
svizzero	1	0	1
espressivo	1	1	0
moderato	2	2	0
comunicativo	1	1	0
astratto	1	1	0
argentino	1	0	1
turco	1	0	1
operaio	0	0	0
asiatico	1	0	1
militante	0	0	0
nemico	0	0	0
romantico	1	0	1
imperiale	0	0	0
ecclesiastico	1	0	1
diocesano	1	0	1
brasiliano	1	0	1
missionario	0	0	0
pagano	0	0	0
olandese	1	0	1
contadino	0	0	0
torinese	0	0	0
ebreo	1	0	1
fiorentino	1	0	1
austriaco	1	0	1
vocale	2	0	2
concettuale	1	1	0
genovese	1	0	1
consolare	1	0	1
ligure	0	0	0
repubblicano	1	0	1
piemontese	0	0	0
alleato	0	0	0
borghese	1	1	0
nazista	1	0	1
metafisico	1	0	1
teologico	1	0	1
polacco	1	0	1
veneziano	1	0	1
riformista	0	0	0
esistenziale	0	0	0
bellico	0	0	0
portoghese	1	0	1
parrocchiale	0	0	0
discografico	0	0	0
biblico	1	0	1
pontificio	1	0	1
vaticano	0	0	0
svedese	1	0	1
ceco	2	1	1
barocco	0	0	0
cubano	1	0	1
saudita	0	0	0
lirico	1	0	1
razziale	0	0	0
testuale	1	0	1
australiano	1	0	1
monumentale	1	0	1
apostolico	1	0	1
primitivo	1	0	1
sovrano	0	0	0
ortodosso	2	1	1
egiziano	1	0	1
colto	0	0	0
mistico	2	0	2
ecclesiale	0	0	0
umanistico	3	0	3
rituale	0	0	0
evangelico	0	0	0
interculturale	0	0	0
ribelle	1	1	0
continentale	0	0	0
antimafia	0	0	0
figurativo	0	0	0
secolare	0	0	0
pugliese	0	0	0
irlandese	1	0	1
calabrese	0	0	0
indigeno	1	1	0
campano	0	0	0
episcopale	1	0	1
padano	0	0	0
pittorico	0	0	0
stilistico	0	0	0
clemente	1	1	0
cosmico	1	0	1
studioso	0	0	0
razzista	0	0	0
canadese	1	0	1
canonico	0	0	0
connazionale	0	0	0
liturgico	1	0	1
autoritario	1	0	1
emiliano	0	0	0
dipinto	0	0	0
giurisprudenziale	1	0	1
empirico	1	1	0
antropologico	1	0	1
maggioritario	0	0	0
semantico	1	0	1
documentario	1	0	1
medioevale	1	0	1
transnazionale	0	0	0
benedetto	2	2	0
pisano	0	0	0
pasquale	0	0	0
coloniale	1	0	1
alemanno	0	0	0
mondo	0	0	0
consulente	0	0	0
multinazionale	0	0	0
sociologico	1	0	1
gotico	0	0	0
iraniano	1	0	1
librario	0	0	0
mantovano	0	0	0
pregiudiziale	0	0	0
nonviolento	0	0	0
repressivo	0	0	0
gaio	1	1	0
modico	1	1	0
dialettico	1	0	1
eucaristico	1	0	1
messicano	1	0	1
archivistico	0	0	0
italico	1	0	1
umbro	0	0	0
corale	1	0	1
marchigiano	0	0	0
bizantino	0	0	0
anglosassone	1	0	1
ritmico	1	1	0
emerito	0	0	0
rinascimentale	0	0	0
beato	0	0	0
varesino	0	0	0
bergamasco	0	0	0
funebre	0	0	0
partigiano	1	1	0
capitalistico	2	1	1
marziale	0	0	0
parlato	1	1	0
esteriore	1	1	0
marocchino	1	0	1
castellano	0	0	0
cardinale	1	1	0
arcaico	0	0	0
nomade	0	0	0
romagnolo	0	0	0
